duration,orig_bytes,resp_bytes,proto,conn_state,label,label_enc,label_clean,rf_pred
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious,1
1.65e-07,2.75e-08,1.43e-07,2,8,Benign,0,Benign,0
6.38e-09,0.0,0.0,1,4,Malicious,1,Malicious,1
2.21e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign,0
6.34e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
1.45e-06,2.75e-08,1.43e-07,2,8,Benign,0,Benign,0
1.29e-05,2.98e-08,3.68e-07,1,3,Benign,0,Benign,0
3.79e-05,0.0,0.0,1,4,Malicious,1,Malicious,1
3.21e-09,0.0,0.0,1,4,Malicious,1,Malicious,1
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
1.28e-06,3.66e-07,0.0,2,4,Benign,0,Benign,0
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
3.81e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious,1
3.95e-05,0.0,0.0,1,4,Malicious,1,Malicious,1
3.98e-05,0.0,0.0,1,4,Malicious,1,Malicious,1
3.99e-05,0.0,0.0,1,4,Benign,0,Benign,1
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
0.000125968,1.65e-07,8.56e-07,2,8,Benign,0,Benign,0
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious,1
3.95e-05,0.0,0.0,1,4,Malicious,1,Malicious,1
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
2.2e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign,0
3.81e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
1.08e-07,2.58e-08,1.34e-07,2,8,Benign,0,Benign,0
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
3.82e-05,3.44e-08,0.0,2,4,Benign,0,Benign,0
3.16e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign,0
7.4e-05,3.38e-07,5.35e-06,1,8,Malicious,1,Malicious,1
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
6.32e-09,1.66e-08,1.34e-07,2,8,Benign,0,Benign,0
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
3.94e-05,0.0,0.0,1,4,Malicious,1,Malicious,1
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
3.22e-06,0.0,0.0,1,8,Benign,0,Benign,0
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious,1
6.29e-09,1.66e-08,1.34e-07,2,8,Benign,0,Benign,0
6.24e-07,2.58e-08,1.34e-07,2,8,Benign,0,Benign,0
3.99e-05,0.0,0.0,1,4,Malicious,1,Malicious,1
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
0.0,0.0,0.0,1,4,Malicious,1,Malicious,1
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
3.23e-09,0.0,0.0,1,4,Malicious,1,Malicious,1
3.23e-09,0.0,0.0,1,4,Malicious,1,Malicious,1
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
3.93e-05,0.0,0.0,1,4,Malicious,1,Malicious,1
4.01e-05,0.0,0.0,1,4,Malicious,1,Malicious,1
3.48e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign,0
3.23e-09,0.0,0.0,1,4,Malicious,1,Malicious,1
3.18e-06,0.0,0.0,1,1,Benign,0,Benign,0
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious,1
