duration,orig_bytes,resp_bytes,proto,conn_state,label,label_enc,label_clean
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.94e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.89e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign
3.94e-05,0.0,0.0,1,4,Benign,0,Benign
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.16e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
2.09e-07,2.75e-08,1.43e-07,2,8,Benign,0,Benign
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.79e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.81e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.93e-05,0.0,0.0,1,4,Benign,0,Benign
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
6.34e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.81e-11,0.0,0.0,1,4,Malicious,1,Malicious
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.95e-05,0.0,0.0,1,4,Benign,0,Benign
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
9.56e-09,0.0,0.0,1,4,Malicious,1,Malicious
2.62e-05,3.78e-08,6.89e-07,1,7,Benign,0,Benign
0.0,0.0,0.0,1,4,Malicious,1,Malicious
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
2.53e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign
3.92e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.91e-05,0.0,0.0,1,4,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.22e-09,0.0,0.0,1,4,Malicious,1,Malicious
0.0,0.0,0.0,1,4,Malicious,1,Malicious
1.9e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign
8.55e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign
0.0,0.0,0.0,1,4,Malicious,1,Malicious
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.9e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.95e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.74e-06,2.75e-08,1.43e-07,2,8,Benign,0,Benign
3.99e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.81e-11,0.0,0.0,1,4,Malicious,1,Malicious
4e-05,0.0,0.0,1,4,Benign,0,Benign
3.97e-05,0.0,0.0,1,4,Malicious,1,Malicious
6.15e-07,2.58e-08,1.34e-07,2,8,Benign,0,Benign
2.67e-05,4.3e-08,7.22e-07,1,7,Malicious,1,Malicious
4.01e-05,0.0,0.0,1,4,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
9.46e-09,2.58e-08,1.34e-07,2,8,Benign,0,Benign
2.03e-07,1.66e-08,1.34e-07,2,8,Benign,0,Benign
3.81e-11,0.0,0.0,1,4,Malicious,1,Malicious
0.0,0.0,0.0,1,4,Malicious,1,Malicious
6.35e-05,4.47e-08,0.0,2,4,Benign,0,Benign
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.97e-05,0.0,0.0,1,4,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
4.47e-07,2.75e-08,1.43e-07,2,8,Benign,0,Benign
3.93e-05,0.0,0.0,1,4,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.92e-05,0.0,0.0,1,4,Malicious,1,Malicious
0.000270532,1.22e-07,9.48e-07,2,8,Benign,0,Benign
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
6.14e-09,2.58e-08,1.34e-07,2,8,Benign,0,Benign
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.94e-05,0.0,0.0,1,4,Benign,0,Benign
7.03e-07,2.75e-08,1.43e-07,2,8,Benign,0,Benign
3.91e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.29e-05,2.98e-08,3.68e-07,1,3,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.91e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
2.54e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.95e-05,0.0,0.0,1,4,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.94e-05,0.0,0.0,1,4,Benign,0,Benign
3.93e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.99e-05,0.0,0.0,1,4,Malicious,1,Malicious
2.64e-05,4.3e-08,7.22e-07,1,7,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.81e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.11e-06,2.24e-08,3.06e-07,2,8,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
6.32e-09,2.58e-08,1.34e-07,2,8,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
2.81e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.01e-10,0.0,0.0,1,4,Malicious,1,Malicious
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.92e-05,0.0,0.0,1,4,Benign,0,Benign
6.97e-08,5.5e-08,2.85e-07,2,8,Benign,0,Benign
7.6e-05,3.38e-07,5.35e-06,1,8,Malicious,1,Malicious
4.77e-06,0.0,0.0,1,1,Benign,0,Benign
3.29e-09,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.32e-06,0.0,0.0,1,1,Benign,0,Benign
3.97e-05,0.0,0.0,1,4,Benign,0,Benign
0.000346726,7.68e-08,2.08e-07,2,8,Benign,0,Benign
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
2e-07,2.75e-08,1.43e-07,2,8,Benign,0,Benign
1.9e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
0.0,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
0.0,0.0,0.0,1,4,Malicious,1,Malicious
2.5e-07,2.58e-08,1.34e-07,2,8,Benign,0,Benign
3.93e-05,0.0,0.0,1,4,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
0.0,0.0,0.0,1,4,Malicious,1,Malicious
3.81e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.99e-05,0.0,0.0,1,4,Benign,0,Benign
2.21e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign
3.11e-06,7.74e-08,7.07e-07,1,8,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
2.54e-11,5.5e-08,0.0,2,4,Benign,0,Benign
2.68e-09,0.0,0.0,1,4,Malicious,1,Malicious
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
6.34e-11,0.0,0.0,1,4,Malicious,1,Malicious
6.01e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.97e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.93e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
6.65e-08,5.5e-08,2.85e-07,2,8,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
6.32e-09,2.58e-08,1.34e-07,2,8,Benign,0,Benign
3.8e-08,2.75e-08,1.43e-07,2,8,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.94e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.96e-05,0.0,0.0,1,4,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
8.34e-05,3.38e-07,5.35e-06,1,8,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.8e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.52e-06,1.38e-07,2.73e-07,1,0,Benign,0,Benign
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.93e-05,0.0,0.0,1,4,Malicious,1,Malicious
0.0,0.0,0.0,1,4,Malicious,1,Malicious
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
9.5e-08,1.66e-08,1.34e-07,2,8,Benign,0,Benign
5.07e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.91e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.81e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.96e-05,0.0,0.0,1,4,Benign,0,Benign
6.34e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.98e-05,0.0,0.0,1,4,Malicious,1,Malicious
0.0,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.98e-05,0.0,0.0,1,4,Benign,0,Benign
3.93e-05,0.0,0.0,1,4,Malicious,1,Malicious
1.27e-11,0.0,0.0,1,4,Malicious,1,Malicious
2.54e-11,0.0,0.0,1,4,Malicious,1,Malicious
3.91e-05,0.0,0.0,1,4,Malicious,1,Malicious
0.0,0.0,0.0,1,4,Malicious,1,Malicious
3.27e-09,0.0,0.0,1,4,Malicious,1,Malicious
3.94e-05,0.0,0.0,1,4,Malicious,1,Malicious
3.99e-05,0.0,0.0,1,4,Malicious,1,Malicious
